Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,45.523085,-94.996,0.0,bottom
C2,22pF,C_0402_1005Metric,47.9044,-90.1192,270.0,bottom
C3,100nF,C_0402_1005Metric,55.626,-67.5005,90.0,bottom
C4,1uF,C_0402_1005Metric,40.3225,-66.287306,180.0,bottom
C5,1uF,C_0402_1005Metric,36.290251,-69.438861,90.0,bottom
C6,10uF,C_0402_1005Metric,37.30625,-69.438861,90.0,bottom
C7,1uF,C_0402_1005Metric,39.751,-79.375,0.0,bottom
C8,100nF,C_0402_1005Metric,37.493,-81.114807,0.0,bottom
C9,100nF,C_0402_1005Metric,43.18,-93.754,270.0,bottom
C10,1uF,C_0402_1005Metric,40.7924,-77.851,90.0,bottom
C11,100nF,C_0402_1005Metric,36.83,-85.150164,0.0,bottom
C12,100nF,C_0402_1005Metric,43.633467,-76.736643,90.0,bottom
C13,100nF,C_0402_1005Metric,49.53,-85.217,180.0,bottom
C14,100nF,C_0402_1005Metric,42.164,-93.754,270.0,bottom
C15,100nF,C_0402_1005Metric,42.617467,-76.736643,90.0,bottom
C16,100nF,C_0402_1005Metric,37.493,-80.175193,0.0,bottom
C17,100nF,C_0402_1005Metric,47.625,-80.236,90.0,bottom
C18,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.3375,-68.8975,0.0,bottom
C19,100nF,C_0402_1005Metric,29.0068,-90.932,90.0,bottom
C20,100nF,C_0402_1005Metric,54.567636,-106.370928,270.0,bottom
C21,100nF,C_0402_1005Metric,50.165,-66.675,270.0,bottom
C22,100nF,C_0402_1005Metric,85.217,-66.675,270.0,bottom
C23,100nF,C_0402_1005Metric,120.015,-66.675,270.0,bottom
C24,100nF,C_0402_1005Metric,170.942,-66.675,270.0,bottom
C25,100nF,C_0402_1005Metric,205.74,-66.675,90.0,bottom
C26,100nF,C_0402_1005Metric,243.078,-66.675,270.0,bottom
C27,100nF,C_0402_1005Metric,247.485799,-106.299,90.0,bottom
C28,100nF,C_0402_1005Metric,215.5825,-106.3405,90.0,bottom
C29,100nF,C_0402_1005Metric,175.26,-106.3625,90.0,bottom
C30,100nF,C_0402_1005Metric,124.467332,-106.371933,270.0,bottom
C31,100nF,C_0402_1005Metric,89.528788,-106.3405,90.0,bottom
C32,100nF,C_0402_1005Metric,119.888,-110.744,270.0,bottom
C33,100nF,C_0402_1005Metric,152.146,-110.744,270.0,bottom
C34,100nF,C_0402_1005Metric,184.912,-110.744,270.0,bottom
D1,D_Small,D_SOD-123F,36.5125,-58.7375,90.0,bottom
D2,D_Small,D_SOD-123F,36.5125,-76.581,90.0,bottom
D3,D_Small,D_SOD-123F,41.91,-99.949,90.0,bottom
D4,D_Small,D_SOD-123F,46.0375,-115.8875,90.0,bottom
D5,D_Small,D_SOD-123F,60.325,-58.7375,90.0,bottom
D6,D_Small,D_SOD-123F,55.5625,-77.7875,90.0,bottom
D7,D_Small,D_SOD-123F,65.0875,-100.0125,90.0,bottom
D8,D_Small,D_SOD-123F,60.325,-115.8875,90.0,bottom
D9,D_Small,D_SOD-123F,74.6125,-58.7375,90.0,bottom
D10,D_Small,D_SOD-123F,74.6125,-77.7875,90.0,bottom
D11,D_Small,D_SOD-123F,84.1375,-100.0125,90.0,bottom
D12,D_Small,D_SOD-123F,79.375,-115.8875,90.0,bottom
D13,D_Small,D_SOD-123F,93.6625,-58.7375,90.0,bottom
D14,D_Small,D_SOD-123F,93.6625,-77.7875,90.0,bottom
D15,D_Small,D_SOD-123F,103.1875,-100.0125,90.0,bottom
D16,D_Small,D_SOD-123F,112.7125,-58.7375,90.0,bottom
D17,D_Small,D_SOD-123F,112.7125,-77.7875,90.0,bottom
D18,D_Small,D_SOD-123F,122.2375,-100.0125,90.0,bottom
D19,D_Small,D_SOD-123F,111.91875,-122.2375,90.0,bottom
D20,D_Small,D_SOD-123F,131.7625,-58.7375,90.0,bottom
D21,D_Small,D_SOD-123F,131.7625,-77.7875,90.0,bottom
D22,D_Small,D_SOD-123F,140.462,-100.0125,90.0,bottom
D23,D_Small,D_SOD-123F,138.1125,-122.2375,90.0,bottom
D24,D_Small,D_SOD-123F,150.8125,-122.2375,90.0,bottom
D25,D_Small,D_SOD-123F,150.8125,-58.7375,90.0,bottom
D26,D_Small,D_SOD-123F,150.8125,-77.7875,90.0,bottom
D27,D_Small,D_SOD-123F,169.8625,-58.7375,90.0,bottom
D28,D_Small,D_SOD-123F,169.8625,-77.7875,90.0,bottom
D29,D_Small,D_SOD-123F,169.8625,-100.0125,90.0,bottom
D30,D_Small,D_SOD-123F,179.3875,-122.2375,90.0,bottom
D31,D_Small,D_SOD-123F,188.9125,-58.7375,90.0,bottom
D32,D_Small,D_SOD-123F,188.9125,-77.7875,90.0,bottom
D33,D_Small,D_SOD-123F,188.9125,-100.0125,90.0,bottom
D34,D_Small,D_SOD-123F,183.388,-122.2375,90.0,bottom
D35,D_Small,D_SOD-123F,207.9625,-58.7375,90.0,bottom
D36,D_Small,D_SOD-123F,207.9625,-77.7875,90.0,bottom
D37,D_Small,D_SOD-123F,207.9625,-100.0125,90.0,bottom
D38,D_Small,D_SOD-123F,227.0125,-58.7375,90.0,bottom
D39,D_Small,D_SOD-123F,231.775,-77.7875,90.0,bottom
D40,D_Small,D_SOD-123F,227.0125,-100.0125,90.0,bottom
D41,D_Small,D_SOD-123F,227.0125,-115.8875,90.0,bottom
D42,D_Small,D_SOD-123F,239.7125,-60.325,90.0,bottom
D43,D_Small,D_SOD-123F,239.7125,-79.375,90.0,bottom
D44,D_Small,D_SOD-123F,246.0625,-100.0125,90.0,bottom
D45,D_Small,D_SOD-123F,241.3,-115.8875,90.0,bottom
D46,D_Small,D_SOD-123F,265.1125,-58.7375,90.0,bottom
D47,D_Small,D_SOD-123F,265.1125,-79.375,90.0,bottom
D48,D_Small,D_SOD-123F,264.033,-100.33,90.0,bottom
D49,D_Small,D_SOD-123F,260.35,-115.8875,90.0,bottom
D50,D_Small,D_SOD-123F,154.686,-99.949,90.0,bottom
D_PWR1,SMF9.0CA,D_SOD-123,46.0375,-63.5,270.0,bottom
F1,500mA,Fuse_1206_3216Metric,39.6875,-63.373,270.0,bottom
LED1,YS-SK6812MINI-E,SK6812-MINI-E,114.3,-107.95,0.0,bottom
LED2,YS-SK6812MINI-E,SK6812-MINI-E,147.6375,-107.95,0.0,bottom
LED3,YS-SK6812MINI-E,SK6812-MINI-E,180.975,-107.95,0.0,bottom
LED4,WS2812_2020,LED_WS2812_2020,87.306288,-66.675,0.0,bottom
LED5,WS2812_2020,LED_WS2812_2020,122.235676,-66.675,0.0,bottom
LED6,WS2812_2020,LED_WS2812_2020,173.0375,-66.675,0.0,bottom
LED7,WS2812_2020,LED_WS2812_2020,207.956288,-66.675,0.0,bottom
LED8,WS2812_2020,LED_WS2812_2020,245.364,-66.675,0.0,bottom
LED9,WS2812_2020,LED_WS2812_2020,245.26875,-106.3625,180.0,bottom
LED10,WS2812_2020,LED_WS2812_2020,52.3875,-106.3625,180.0,bottom
LED11,WS2812_2020,LED_WS2812_2020,52.3875,-66.675,0.0,bottom
LED12,WS2812_2020,LED_WS2812_2020,213.36,-106.3625,180.0,bottom
LED13,WS2812_2020,LED_WS2812_2020,173.0375,-106.3625,180.0,bottom
LED14,WS2812_2020,LED_WS2812_2020,122.244832,-106.3625,180.0,bottom
LED15,WS2812_2020,LED_WS2812_2020,87.306288,-106.3625,180.0,bottom
R1,27R,R_0603_1608Metric,42.447163,-73.288838,270.0,bottom
R2,27R,R_0603_1608Metric,40.859663,-73.288838,270.0,bottom
R3,1k,R_0402_1005Metric,135.45052,-73.025,270.0,bottom
R4,5k1,R_0402_1005Metric,41.402,-58.928,270.0,bottom
R5,5k1,R_0402_1005Metric,45.085,-58.928,270.0,bottom
R6,1k,R_0402_1005Metric,74.645499,-67.952227,0.0,bottom
R7,1k,R_0402_1005Metric,43.2308,-90.17,90.0,bottom
SW27,SW_Push,SW_SPST_TL3342,80.01,-69.85,180.0,bottom
SW38,SW_Push,SW_SPST_TL3342,100.0125,-69.85,0.0,bottom
U1,RP2040,RP2040-QFN-56,42.8625,-84.138914,0.0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,62.357,-69.85,0.0,bottom
U3,XC6206PxxxMR,SOT-23,39.6875,-69.05625,90.0,bottom
U4,USBLC6-2SC6,SOT-23-6,42.8625,-63.5,90.0,bottom
U5,74AHCT1G125,TSOT-23-5,31.9532,-90.932,0.0,bottom
UR1,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-66.51625,180.0,bottom
UR2,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-64.135,180.0,bottom
UR3,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-71.27875,0.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,42.8625,-47.436838,180.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,45.4796,-92.339736,90.0,bottom
